SSP_ID_1,SSP_ID_2,K_Vec
1263,3595,0
3264,3995,1
3184,3766,2
2662,3182,5
974,1641,7
2485,3430,8
3363,4227,9
100,1250,9
578,1987,11
578,3970,11
14,4398,11
680,1927,11
2652,3530,11
530,3850,11
4546,5027,12
61,175,12
1789,2335,13
1466,1639,15
4729,4833,17
385,1324,19
1168,1486,21
606,3633,23
549,3949,23
1101,2366,27
3276,4489,27
1746,3953,27
1756,4674,30
353,3567,32
58,3915,34
1176,2353,34
2336,4965,35
4672,4943,36
3960,4604,37
643,2766,40
866,3085,43
179,4753,43
370,3149,44
362,426,44
796,4158,50
2062,3037,51
1312,3762,52
3864,4813,52
885,3351,54
1218,4838,54
1470,4029,55
70,1401,57
2432,3386,59
1535,4747,61
1196,2910,61
747,4674,62
1412,1762,62
2211,3447,62
2904,3949,64
2614,4284,64
1692,3568,66
778,2810,66
374,1439,67
89,1000,69
2552,4030,70
2285,3161,71
3973,4981,71
2126,3227,71
3495,4658,73
492,4382,74
281,2204,74
2577,3640,75
2514,4768,75
764,4369,75
1427,4413,76
3408,4834,79
629,1661,80
1296,2773,82
873,3849,84
882,1374,84
3645,4276,85
2668,4565,88
4391,4710,89
2484,3716,89
901,1767,89
527,4787,89
3285,4108,91
379,4237,91
1823,4822,93
3818,4788,94
41,2673,96
3990,5005,96
2319,2814,97
2820,2891,97
459,3117,100
1873,2231,104
3001,3482,104
1925,2624,104
3686,4227,107
1597,4262,108
4106,4296,109
514,627,109
3881,4625,109
3694,4734,109
1767,3863,110
777,2405,111
140,2519,111
1421,4111,112
2406,4066,112
3363,3472,112
1400,3952,112
542,2542,112
739,4294,114
1699,2651,114
663,4642,117
170,500,117
751,1148,119
2119,4560,121
2711,3707,123
2445,2847,123
4025,4667,124
918,1288,125
803,2966,126
41,3406,126
1374,4786,129
1737,2471,132
246,2165,134
790,2501,135
3678,4775,137
2766,2794,139
763,4737,139
1526,4619,140
1155,3762,142
1337,3651,145
1486,4720,146
3741,4576,146
1449,4558,146
3602,4960,146
2670,4360,147
2003,2064,147
115,4178,148
2371,4641,148
311,3916,148
1989,4822,152
389,4489,153
3429,4350,153
4661,4930,154
1427,3981,156
733,3908,157
2133,5013,157
3395,4484,157
3123,3177,159
1209,3969,160
291,3281,162
2745,2896,163
2939,3598,164
414,4448,167
1504,1561,167
2814,4772,169
2013,4573,170
479,1675,171
1977,4060,172
1113,2643,173
1113,3005,176
1144,4676,178
536,4910,182
1999,2506,182
322,3181,183
2112,2276,184
2607,3224,187
1983,2463,188
1623,3185,188
3867,4771,188
1513,3934,189
246,2195,189
3748,4698,189
2057,4510,190
2030,4610,193
1196,2949,193
3343,3610,195
1333,4362,196
1290,3472,198
3286,4981,198
3190,4837,199
630,3522,199
4281,4949,200
790,1663,203
1985,3179,204
1034,4545,204
168,4213,205
772,1474,206
1953,2723,206
16,317,206
45,4489,207
2336,4467,209
762,1629,209
2851,4308,209
1954,2249,209
1672,2545,209
276,4346,209
814,815,211
239,4352,212
1144,1409,213
1529,1605,216
2826,4734,217
28,2340,217
398,3763,217
719,888,218
4845,5001,218
999,4948,218
2142,3178,219
1329,3905,219
1736,2966,219
