SSP_ID_1,SSP_ID_2,K_Vec
1699,2651,0
663,4642,1
170,500,2
751,1148,2
2119,4560,2
2711,3707,2
2445,2847,4
4025,4667,4
918,1288,4
803,2966,5
41,3406,5
1374,4786,5
1737,2471,5
246,2165,5
790,2501,7
3678,4775,9
2766,2794,10
763,4737,12
1526,4619,13
1155,3762,16
1337,3651,16
1486,4720,17
3741,4576,18
1449,4558,19
3602,4960,19
2670,4360,20
2003,2064,25
115,4178,25
2371,4641,27
311,3916,29
1989,4822,32
389,4489,32
3429,4350,33
4661,4930,35
1427,3981,37
733,3908,39
2133,5013,39
3395,4484,39
3123,3177,39
1209,3969,40
291,3281,40
2745,2896,41
2939,3598,41
414,4448,41
1504,1561,43
2814,4772,46
2013,4573,46
479,1675,46
1977,4060,49
1113,2643,50
1113,3005,50
1144,4676,50
536,4910,52
1999,2506,52
322,3181,55
2112,2276,56
2607,3224,57
1983,2463,59
1623,3185,60
3867,4771,62
1513,3934,63
246,2195,64
3748,4698,65
2057,4510,66
2030,4610,68
1196,2949,71
3343,3610,74
1333,4362,75
1290,3472,76
3286,4981,76
3190,4837,79
630,3522,81
4281,4949,81
790,1663,81
1985,3179,82
1034,4545,82
168,4213,82
772,1474,82
1953,2723,86
16,317,86
45,4489,87
2336,4467,88
762,1629,91
2851,4308,91
1954,2249,91
1672,2545,92
276,4346,92
814,815,95
239,4352,97
1144,1409,97
1529,1605,98
2826,4734,99
28,2340,99
398,3763,99
719,888,99
4845,5001,101
999,4948,102
2142,3178,102
1329,3905,102
1736,2966,102
3060,4639,102
1335,1628,103
3185,4671,104
2269,2776,106
1626,3644,108
2846,4016,109
108,3616,110
1149,3611,110
3341,4164,111
2032,4496,111
1125,4092,111
2027,3622,112
2537,4754,112
2285,2898,112
2340,3044,112
3402,3587,114
1529,1849,116
2571,3856,116
799,3311,117
1850,3188,117
3381,5059,118
518,2078,121
927,1113,122
160,1769,122
3532,3666,123
4049,5057,123
4564,4625,126
686,1399,126
1120,3622,127
258,1605,128
190,919,130
2597,3307,133
459,1814,134
641,2365,135
190,920,136
497,698,136
2398,3939,136
2575,3814,136
2911,4541,136
3533,4345,137
1403,4076,138
721,4265,138
1928,4980,138
331,3012,141
897,3585,141
2497,4231,143
1854,2936,144
305,2506,144
1069,3098,147
1284,2320,150
2336,4197,150
1462,4701,150
1652,3211,152
430,2195,152
1279,1762,153
1058,4144,154
1455,3979,155
636,803,155
806,4918,158
1094,2321,159
351,4117,159
2912,4711,159
2242,4174,160
2752,4696,160
2881,3389,162
1857,4162,163
3419,3709,164
855,3542,165
959,3525,166
1079,3135,167
3149,3515,168
358,1911,168
558,3863,172
431,3364,172
617,983,172
1301,2315,172
2544,4660,172
2797,3593,173
2745,4838,173
281,553,174
1088,4425,174
197,2963,175
1887,3633,176
363,2510,176
246,391,177
1181,5019,177
759,3769,178
1447,4018,179
1945,3597,180
529,3652,183
2317,4481,183
975,2785,184
739,2409,184
4380,4652,185
2525,4947,186
442,2825,186
618,2998,186
617,3773,188
2225,4537,191
4506,4567,192
1665,2310,193
491,2879,194
2526,4153,195
492,2192,195
2091,4427,195
3690,4238,197
338,4856,200
3277,4431,201
1916,2012,203
916,4657,204
2746,3836,204
1150,3489,205
688,4290,206
337,4813,207
3365,4445,209
1701,2810,209
2238,3846,209
3350,4712,210
1827,2349,210
1477,1659,212
2664,5037,213
1251,4869,216
88,741,218
2192,4346,219
43,190,220
1370,2457,222
1958,4555,223
2973,4582,223
2692,3677,223
4540,4818,224
3277,4712,224
1016,3904,226
1377,4679,227
1924,2264,228
318,4874,229
1420,2004,229
3110,4683,229
1958,4609,229
1104,1215,232
2918,4924,234
2227,3805,234
1095,2601,234
695,3011,235
29,4986,235
469,4859,235
536,1029,236
449,4445,238
882,1824,238
2088,4755,239
200,2754,241
963,1974,242
761,3775,243
2210,4086,243
585,3209,247
243,3193,248
3157,4046,249
1281,1947,250
231,4664,251
808,4205,252
1173,1615,252
206,3323,254
809,3715,255
1876,3157,255
700,1780,257
1536,4337,258
1328,4107,260
2121,2733,261
183,4394,262
2055,4567,263
400,4117,264
399,4117,265
707,1923,265
2260,3154,266
1869,2365,267
3897,3946,267
1566,4681,267
190,4892,267
1153,2341,268
3658,3841,271
2660,3135,272
3231,4416,273
901,1655,274
1015,2107,274
1387,3203,275
928,1947,276
1193,3381,278
3651,4452,281
2357,3575,282
2672,4153,282
2124,4234,283
551,2817,283
1917,3569,286
50,4058,286
2813,3285,286
1032,3119,287
2702,3979,288
2187,2621,289
1955,3759,289
3402,3638,291
3606,3995,292
2971,3834,293
1038,3732,295
3058,4321,296
751,3845,297
611,3396,298
1629,3556,300
1526,2520,300
3610,4519,302
2537,3949,304
923,4188,304
1461,3706,304
2619,4645,304
2659,4664,305
1249,4690,305
573,2221,309
1004,1519,310
3170,4524,310
673,1488,311
