st_TM_SNT1,st_TM_SNT2,st_TM_SNT3,st_TM_SNT4,st_TM_SNT5,st_TM_SNT6,st_TM_SNT7,st_TM_SNT8,st_TM_SNT9,st_TM_SNT10,st_TM_SNT11,st_TM_SNT12
1,3958,0,0,0,0,0,0,0,0,0,0
2,3119,4870,0,0,0,0,0,0,0,0,0
3,21,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,3493,0,0,0,0,0,0,0,0,0,0
6,4882,0,0,0,0,0,0,0,0,0,0
7,679,0,0,0,0,0,0,0,0,0,0
8,4539,0,0,0,0,0,0,0,0,0,0
9,3843,4244,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,1159,0,0,0,0,0,0,0,0,0,0
13,1224,1793,1088,3952,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
15,1261,0,0,0,0,0,0,0,0,0,0
16,669,0,0,0,0,0,0,0,0,0,0
17,5003,3038,2900,0,0,0,0,0,0,0,0
18,551,4824,1274,25,0,0,0,0,0,0,0
19,1122,1019,4495,3871,3816,1471,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0
21,3,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0
23,276,0,0,0,0,0,0,0,0,0,0
24,624,2384,148,0,0,0,0,0,0,0,0
25,551,4824,1274,18,0,0,0,0,0,0,0
26,4996,114,0,0,0,0,0,0,0,0,0
27,4441,2490,4025,0,0,0,0,0,0,0,0
28,646,0,0,0,0,0,0,0,0,0,0
29,4434,2513,1094,0,0,0,0,0,0,0,0
30,3423,0,0,0,0,0,0,0,0,0,0
31,633,32,1500,2377,2436,4530,0,0,0,0,0
32,409,1500,633,31,0,0,0,0,0,0,0
33,1507,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0
35,3463,4132,3866,1905,2111,690,0,0,0,0,0
36,1590,1977,1116,4697,1696,3169,2356,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0
39,542,851,3536,2688,4537,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0
41,4409,0,0,0,0,0,0,0,0,0,0
42,739,0,0,0,0,0,0,0,0,0,0
43,4085,4448,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0
45,2692,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0
47,3858,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0
50,4856,1668,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0
52,3569,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0
54,4806,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0
